"59900
PLN",Nissan Qashqai II,Do negocjacji,2016,87 000 km,1 197 cm3,Benzyna
"34900
PLN",BMW X3 E83,,2007,205 000 km,3 000 cm3,Diesel
"74999
PLN",Audi A6 C7,Do negocjacji,2012,190 000 km,2 967 cm3,Diesel
"89900
PLN",Ford S-Max II,,2016,128 600 km,2 000 cm3,Diesel
"36900
PLN",Honda CR-V III,,2008,190 000 km,2 200 cm3,Diesel
"8900
PLN",Volkswagen Passat B5,Do negocjacji,2003,279 000 km,,Diesel
"24500
PLN",Škoda Octavia II,,2009,157 000 km,2 000 cm3,Diesel
"48000
PLN",Nissan Juke,Do negocjacji,2015,69 500 km,1 618 cm3,Benzyna
"8800
PLN",Peugeot 1007,Do negocjacji,2005,131 000 km,1 400 cm3,Benzyna
"25700
PLN",Honda Insight,,2010,159 000 km,1 300 cm3,Hybryda
"89900
PLN",Audi A6 Allroad C7,"Do negocjacji, Faktura VAT",2014,162 800 km,2 967 cm3,Diesel
"46900
PLN",Audi Q5 8R,Do negocjacji,2009,288 000 km,,Diesel
"13900
PLN",Subaru Forester II,"Do negocjacji, Faktura VAT",2004,224 518 km,1 994 cm3,Benzyna
"145565
PLN",BMW X6 F16,,2019,8 397 km,2 993 cm3,Diesel
"17850
PLN",Renault Laguna III,Do negocjacji,2008,225 000 km,1 995 cm3,Diesel
"148900
PLN",BMW Seria 6 F12/F13/F14,Do negocjacji,2013,48 000 km,4 400 cm3,Benzyna
"224000
PLN",Mercedes-Benz GLC,"Do negocjacji, Faktura VAT",2019,25 000 km,2 143 cm3,Diesel
"44900
PLN",Hyundai ix35,Do negocjacji,2013,112 000 km,2 000 cm3,Benzyna
"92357
PLN",Volkswagen Passat B8,Mo¿liwoœæ odliczenia VAT,2018,10 260 km,1 968 cm3,Diesel
"58999
PLN",Kia Sorento II,"Mo¿liwoœæ odliczenia VAT, Do negocjacji, Faktura VAT",2010,112 776 km,2 199 cm3,Diesel
"64900
PLN",Volkswagen Golf VII,Faktura VAT,2018,16 600 km,1 600 cm3,Diesel
"23800
PLN",Hyundai Tucson I,Do negocjacji,2010,196 736 km,2 000 cm3,Benzyna+LPG
"118695
PLN",Volkswagen Crafter,"Mo¿liwoœæ odliczenia VAT, Faktura VAT",2016,145 000 km,2 000 cm3,Diesel
"65999
PLN",Volkswagen Golf VII,Faktura VAT,2016,154 067 km,1 598 cm3,Diesel
"46900
PLN",Toyota Auris II,Do negocjacji,2015,74 000 km,1 600 cm3,Benzyna
"74900
PLN",Škoda Scala,Faktura VAT,2019,10 900 km,999 cm3,Benzyna
"30000
PLN",Porsche Cayenne I,Do negocjacji,2004,170 000 km,4 500 cm3,Benzyna+LPG
"2750
PLN",Opel Corsa C,,2002,178 500 km,1 389 cm3,Benzyna
"19900
PLN",Volkswagen Passat B6,Do negocjacji,2006,272 600 km,,Diesel
"149900
PLN",Volkswagen Amarok,"Do negocjacji, Faktura VAT",2017,106 429 km,3 000 cm3,Diesel
"23900
PLN",Opel Astra J,,2010,205 000 km,1 700 cm3,Diesel
"67800
PLN",Volvo XC 60 I,Do negocjacji,2012,189 000 km,2 400 cm3,Diesel
"9300
PLN",Hyundai Santa Fe I,Do negocjacji,2004,282 000 km,1 991 cm3,Diesel
"12900
PLN",Ford Fiesta Mk7,Do negocjacji,2010,190 000 km,,Diesel
"70900
PLN",Renault Scenic IV,Do negocjacji,2018,44 410 km,1 332 cm3,Benzyna
"29900
PLN",Toyota Auris II,Do negocjacji,2014,197 000 km,,Diesel
"24900
PLN",Opel Insignia A,,2009,266 730 km,1 956 cm3,Diesel
"32700
PLN",Ford Mondeo Mk4,Do negocjacji,2014,149 000 km,1 987 cm3,Diesel
"33000
PLN",Renault Megane III,Faktura VAT,2016,71 000 km,1 461 cm3,Diesel
"17000
PLN",Volkswagen Golf IV,Do negocjacji,2003,91 323 km,1 600 cm3,Benzyna
"6500
PLN",Mazda 2 I,"Do negocjacji, Faktura VAT",2005,127 963 km,1 388 cm3,Benzyna
"54500
PLN",Audi A5 8T,Do negocjacji,2010,168 200 km,2 698 cm3,Diesel
"49999
PLN",Seat Leon III,"Do negocjacji, Faktura VAT",2014,172 094 km,1 998 cm3,Diesel
"22800
PLN",Jeep Patriot,Do negocjacji,2007,170 100 km,1 968 cm3,Diesel
"4999
PLN",Mazda Premacy,Do negocjacji,2003,168 000 km,2 000 cm3,Benzyna
"16999
PLN",Ford Focus Mk2,Do negocjacji,2009,154 758 km,1 596 cm3,Benzyna
"46900
PLN",Subaru Impreza GD,"Do negocjacji, Faktura VAT",2002,85 800 km,2 200 cm3,Benzyna
"66900
PLN",Opel Vivaro II,Faktura VAT,2017,91 400 km,1 600 cm3,Diesel
"39500
PLN",Toyota Avensis III,Do negocjacji,2013,203 000 km,2 000 cm3,Diesel
"8900
PLN",Nissan Primera P12,Do negocjacji,2006,180 000 km,1 800 cm3,Benzyna+LPG
"126900
PLN",Mazda 6 III,Faktura VAT,2019,1 273 km,1 998 cm3,Benzyna
"150000
PLN",Mercedes-Benz CLA,"Do negocjacji, Faktura VAT",2014,82 300 km,1 998 cm3,Benzyna
"12999
PLN",Audi A4 B6,Do negocjacji,2001,298 500 km,1 896 cm3,Diesel
"17900
PLN",Nissan X-Trail I,Do negocjacji,2005,234 000 km,2 184 cm3,Diesel
"25900
PLN",Opel Astra J,"Do negocjacji, Faktura VAT",2010,283 307 km,1 600 cm3,Benzyna
"49900
PLN",Toyota Prius III,,2013,203 000 km,1 800 cm3,Hybryda
"37900
PLN",Kia Ceed II,Faktura VAT,2016,93 650 km,1 368 cm3,Benzyna
"58700
PLN",Nissan Murano Z51,Do negocjacji,2014,97 000 km,2 500 cm3,Diesel
"73500
PLN",Ford Fiesta Mk8,Faktura VAT,2018,2 500 km,998 cm3,Benzyna
"58500
PLN",Citroën DS4,Do negocjacji,2016,81 800 km,2 000 cm3,Diesel
"15888
PLN",Citroën C4 Grand Picasso I,Do negocjacji,2008,189 000 km,2 000 cm3,Diesel
"5300
PLN",Renault Megane II,Do negocjacji,2003,144 000 km,1 870 cm3,Diesel
"15900
PLN",BMW Seria 7 E65/66,,2001,330 000 km,3 600 cm3,Benzyna+LPG
"69899
PLN",BMW Seria 1 F20/F21,"Do negocjacji, Faktura VAT",2016,146 903 km,1 496 cm3,Diesel
"49900
PLN",Audi A4 B8,Do negocjacji,2011,182 000 km,2 000 cm3,Diesel
"112500
PLN",Volkswagen T-Roc,,2019,11 500 km,1 500 cm3,Benzyna
"399900
PLN",Audi Q8,Faktura VAT,2019,8 986 km,2 967 cm3,Diesel
"45000
PLN",BMW X6 E71,Do negocjacji,2009,188 000 km,3 000 cm3,Diesel
"44500
PLN",Ford C-MAX II,Do negocjacji,2013,109 600 km,1 997 cm3,Diesel
"46900
PLN",Škoda Fabia III,Faktura VAT,2018,5 700 km,999 cm3,Benzyna
"7400
PLN",BMW Seria 5 E39,Do negocjacji,2001,274 000 km,3 000 cm3,Diesel
"129900
PLN",Audi A6 C7,"Do negocjacji, Faktura VAT",2018,36 000 km,1 968 cm3,Diesel
"26500
PLN",Mercedes-Benz Klasa C W204,Do negocjacji,2009,300 000 km,2 148 cm3,Diesel
"142900
PLN",Mazda 6 III,Faktura VAT,2019,2 911 km,2 488 cm3,Benzyna
"8000
PLN",Seat Ibiza III,Do negocjacji,2008,193 615 km,,Diesel
"46900
PLN",Škoda Fabia III,Faktura VAT,2018,7 400 km,999 cm3,Benzyna
"33900
PLN",Toyota Yaris III,"Do negocjacji, Faktura VAT",2016,104 000 km,998 cm3,Benzyna+LPG
"17900
PLN",Volkswagen Golf Plus,Do negocjacji,2007,194 000 km,1 998 cm3,Diesel
"29900
PLN",Ford Fiesta Mk7,,2016,54 200 km,1 498 cm3,Diesel
"34900
PLN",Hyundai I30 II,Faktura VAT,2013,91 600 km,1 396 cm3,Benzyna
"9800
PLN",Dacia Sandero I,Do negocjacji,2010,184 000 km,1 400 cm3,Benzyna+LPG
"49999,99
PLN",Ford Fiesta Mk7,Do negocjacji,2017,7 500 km,1 600 cm3,Benzyna
"74900
PLN",Volkswagen Touareg II,Faktura VAT,2013,184 000 km,2 967 cm3,Diesel
"159900
PLN",Mercedes-Benz GLC,"Mo¿liwoœæ odliczenia VAT, Faktura VAT",2018,13 724 km,2 000 cm3,Benzyna
"74900
PLN",Volkswagen Golf VII,Faktura VAT,2018,11 900 km,1 598 cm3,Diesel
"2950
PLN",Audi 80 B4,,1991,334 500 km,1 984 cm3,Benzyna+LPG
"76100
PLN",Volkswagen Golf VII,,2018,8 600 km,1 498 cm3,Benzyna
"15500
PLN",Hyundai I30 I,Do negocjacji,2010,232 872 km,1 396 cm3,Benzyna
"18000
PLN",BMW Seria 1 E81/E82/E87/E88,,2007,234 000 km,2 000 cm3,Diesel
"30000
PLN",BMW Seria 3 E90/E91/E92/E93,,2010,195 000 km,1 995 cm3,Diesel
"106000
PLN",BMW Seria 5 F10/F11,Do negocjacji,2011,157 100 km,2 993 cm3,Diesel
"75900
PLN",Audi A6 C7,Do negocjacji,2016,183 736 km,2 000 cm3,Diesel
"53700
PLN",Volkswagen Beetle,Do negocjacji,2014,48 000 km,2 000 cm3,Diesel
"69900
PLN",Audi A4 B8,Do negocjacji,2014,208 399 km,2 000 cm3,Diesel
"73700
PLN",Volkswagen Touareg II,,2011,166 000 km,2 967 cm3,Diesel
"67900
PLN",Kia Sportage IV,,2016,34 000 km,1 600 cm3,Benzyna
"59999
PLN",Citroën Berlingo II,,2017,49 500 km,1 600 cm3,Diesel
"63900
PLN",Mazda 3 III,Do negocjacji,2017,16 000 km,2 500 cm3,Benzyna
"53900
PLN",Kia Ceed II,Faktura VAT,2017,45 000 km,1 600 cm3,Diesel
"44900
PLN",Volvo V40 II,"Do negocjacji, Faktura VAT",2015,168 000 km,2 000 cm3,Diesel
"23900
PLN",Nissan Micra K13,Do negocjacji,2014,104 000 km,1 198 cm3,Benzyna
"219900
PLN",BMW Seria 7 G11/12,,2019,600 km,2 998 cm3,Hybryda
"38900
PLN",Ford Focus Mk3,Faktura VAT,2016,126 900 km,1 499 cm3,Diesel
"21900
PLN",Honda Civic VIII,Do negocjacji,2006,127 480 km,1 799 cm3,Benzyna
"5999
PLN",Honda Civic VII,Do negocjacji,2005,370 000 km,,Benzyna
"15900
PLN",Škoda Octavia II,Do negocjacji,2007,191 444 km,1 600 cm3,Benzyna
"27900
PLN",Peugeot 308 T9,,2014,109 450 km,1 590 cm3,Diesel
"45900
PLN",Volkswagen Golf VII,"Do negocjacji, Faktura VAT",2014,136 300 km,1 997 cm3,Diesel
"335900
PLN",BMW Seria 7 G11/12,"Mo¿liwoœæ odliczenia VAT, Faktura VAT",2017,22 904 km,3 000 cm3,Diesel
